Event Name,Venue Name,Event Date,Section,Row,Notes,Stock Type,Quantity,Price
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",121,24,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,188.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",105,17,Mobile XFER Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). Xfer,Electronic Transfer,4,192.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",116,14,Seats 5 - 8. Mobile Entry Tickets. Must have smart device on hand to enter event.,Electronic Transfer,4,199.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",104,23,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,199.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",121,22,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,211.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",117,27,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,4,214.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",109,22,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,223.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",327,9,mobile,Electronic Transfer,1,227.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",117,25,XFER,Electronic Transfer,2,233.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",119,17,mobile,Electronic Transfer,4,240.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",102,25,"XFER, XFER",Electronic Transfer,2,240.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",117,23,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,4,243.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",324,11,mobile,Electronic Transfer,2,244.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",108,18,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,4,245.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",114,25,"XFER, XFER",Electronic Transfer,2,248.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",118,20,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,4,250.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",105,14,XFER,Electronic Transfer,4,253.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",105,14,XFER,Electronic Transfer,4,253.00
